estate name,detail link,photo links
Chun Hing Building,https://www.28hse.com/en/estate/detail/chun-hing-building-25948,https://i1.28hse.com/2022/09/202209081219576567627_large.jpg
675 Shanghai Street,https://www.28hse.com/en/estate/detail/675-shanghai-street-22664,https://i1.28hse.com/2022/09/202209081217243361721_large.jpg
Island Lodge,https://www.28hse.com/en/estate/detail/island-lodge-1161,https://i1.28hse.com/2022/09/202209081212593357461_large.jpg
34-36 Hillwood Road,https://www.28hse.com/en/estate/detail/34-36-hillwood-road-26430,https://i1.28hse.com/2022/09/2022090812243651875_large.jpg
Wah Tang Building,https://www.28hse.com/en/estate/detail/wah-tang-building-5334,https://i1.28hse.com/2022/09/202209081243332651912_large.jpg
Jade View Villa,https://www.28hse.com/en/estate/detail/jade-view-villa-4525,https://i1.28hse.com/2022/09/202209081240072250565_large.jpg
Lai Chi Court,https://www.28hse.com/en/estate/detail/lai-chi-court-7760,https://i1.28hse.com/2022/09/202209081258535585267_large.jpg
La Fontaine,https://www.28hse.com/en/estate/detail/la-fontaine-5562,https://i1.28hse.com/2022/09/202209081245041632197_large.jpg
King Tao Building,https://www.28hse.com/en/estate/detail/king-tao-building-7574,https://i1.28hse.com/2022/09/202209081257377301863_large.jpg
Kiu Fat Building,https://www.28hse.com/en/estate/detail/kiu-fat-building-24783,https://i1.28hse.com/2022/09/20220908125159133554_large.jpg
Aldrich Garden,https://www.28hse.com/en/estate/detail/aldrich-garden-1175,https://i1.28hse.com/2022/09/202209081213028596366_large.jpg
Gain Yu Building,https://www.28hse.com/en/estate/detail/gain-yu-building-24775,https://i1.28hse.com/2022/09/202209081251376621496_large.jpg
No. 15 Homantin Hill,https://www.28hse.com/en/estate/detail/no-15-homantin-hill-6065,https://i1.28hse.com/2022/09/202209081248353988610_large.jpg
Bay View Mansion,https://www.28hse.com/en/estate/detail/bay-view-mansion-1027,https://i1.28hse.com/2022/09/202209081212144036492_large.jpg
33-35a Tung Choi Street,https://www.28hse.com/en/estate/detail/33-35a-tung-choi-street-26840,https://i1.28hse.com/2022/09/202209081230013090236_large.jpg
Ka Yu Building,https://www.28hse.com/en/estate/detail/ka-yu-building-7521,https://i1.28hse.com/2022/09/202209081257145774945_large.jpg
No.29-31 Lion Rock Road,https://www.28hse.com/en/estate/detail/no-29-31-lion-rock-road-26040,https://i1.28hse.com/2022/09/202209081220585386802_large.jpg
Grand Scholar,https://www.28hse.com/en/estate/detail/grand-scholar-695,https://i1.28hse.com/2022/09/202209081254291886520_large.jpg
Wan Fung Building,https://www.28hse.com/en/estate/detail/wan-fung-building-26400,https://i1.28hse.com/2022/09/202209081224204512171_large.jpg
West Grand Court,https://www.28hse.com/en/estate/detail/west-grand-court-649,https://i1.28hse.com/2022/09/202209081251305916070_large.jpg
15-17 Cameron Road,https://www.28hse.com/en/estate/detail/15-17-cameron-road-23990,https://i1.28hse.com/2022/09/202209081229193300252_large.jpg
29-31 Caine Road,https://www.28hse.com/en/estate/detail/29-31-caine-road-23838,https://i1.28hse.com/2022/09/202209081228206280776_large.jpg
Lido Apartments,https://www.28hse.com/en/estate/detail/lido-apartments-1156,https://i1.28hse.com/2022/09/202209081212571369414_large.jpg
Wing Cheung Court,https://www.28hse.com/en/estate/detail/wing-cheung-court-7775,https://i1.28hse.com/2022/09/202209081259001721701_large.jpg
Hong Lee Building,https://www.28hse.com/en/estate/detail/hong-lee-building-8858,https://i1.28hse.com/2022/09/202209081306505798091_large.jpg
Gardenview Heights,https://www.28hse.com/en/estate/detail/gardenview-heights-8732,https://i1.28hse.com/2022/09/202209081305561275230_large.jpg
Wai Yuen Building,https://www.28hse.com/en/estate/detail/wai-yuen-building-8869,https://i1.28hse.com/2022/09/202209081306546516297_large.jpg
Hong Nga Court,https://www.28hse.com/en/estate/detail/hong-nga-court-2014,https://i1.28hse.com/2022/09/202209081213397652161_large.jpg
Lee Wai Building,https://www.28hse.com/en/estate/detail/lee-wai-building-27083,https://i1.28hse.com/2022/09/202209081231382766072_large.jpg
One Park,https://www.28hse.com/en/estate/detail/one-park-8944,https://i1.28hse.com/2022/09/202209081307287452568_large.jpg
Glory Court,https://www.28hse.com/en/estate/detail/glory-court-2552,https://i1.28hse.com/2022/09/202209081232131518304_large.jpg
Champion Court,https://www.28hse.com/en/estate/detail/champion-court-7906,https://i1.28hse.com/2022/09/202209081259561864536_large.jpg
Tat Chee Court,https://www.28hse.com/en/estate/detail/tat-chee-court-3098,https://i1.28hse.com/2022/09/202209081235215464174_large.jpg
Star Mansion,https://www.28hse.com/en/estate/detail/star-mansion-2956,https://i1.28hse.com/2022/09/202209081234167088872_large.jpg
Fook Kiu Mansion,https://www.28hse.com/en/estate/detail/fook-kiu-mansion-22723,https://i1.28hse.com/2022/09/202209081217408530147_large.jpg
Sherwood Court,https://www.28hse.com/en/estate/detail/sherwood-court-939,https://i1.28hse.com/2022/09/20220908130756572281_large.jpg
Cheong Ming Building,https://www.28hse.com/en/estate/detail/cheong-ming-building-6357,https://i1.28hse.com/2022/09/202209081250344815220_large.jpg
