Name,Estate,Photo
May Sun Building,https://www.28hse.com/en/estate/hk/kennedy-town/624_may-sun-building,https://i1.28hse.com/2022/09/202209081249481302654_large.jpg
Lungga Mansion,https://www.28hse.com/en/estate/hk/kennedy-town/5691_lungga-mansion,https://i1.28hse.com/2022/09/202209081246057223560_large.jpg
Felicity Garden,https://www.28hse.com/en/estate/hk/shaukeiwan/1184_felicity-garden,https://i1.28hse.com/2022/09/202209081213053261489_large.jpg
Greenwood Terrace,https://www.28hse.com/en/estate/hk/chai-wan/1256_greenwood-terrace,https://i1.28hse.com/2022/09/202209081250142268291_large.jpg
Shan Tsui Court,https://www.28hse.com/en/estate/hk/chai-wan/1253_shan-tsui-court,https://i1.28hse.com/2022/09/202209081213277965198_large.jpg
Lucky House,https://www.28hse.com/en/estate/hk/wan-chai/8924_lucky-house,https://i1.28hse.com/2022/09/202209081234068852968_large.jpg
iUniQ Residence,https://www.28hse.com/en/estate/hk/shaukeiwan/6199_iuniq-residence,
One Wanchai,https://www.28hse.com/en/estate/hk/wan-chai/6584_one-wanchai,https://i1.28hse.com/2022/09/202209081252143224759_large.jpg
Nan Fung Sun Chuen,https://www.28hse.com/en/estate/hk/quarry-bay/1121_nan-fung-sun-chuen,https://i1.28hse.com/2022/09/202209081212435830364_large.jpg
One South Lane,https://www.28hse.com/en/estate/hk/kennedy-town/8501_one-south-lane,https://i1.28hse.com/2022/09/20220908130416515470_large.jpg
Pearl City Mansion,https://www.28hse.com/en/estate/hk/causeway-bay/903_pearl-city-mansion,https://i1.28hse.com/2022/09/202209081307432733490_large.jpg
Manhattan Tower,https://www.28hse.com/en/estate/hk/repulse-bay/22842_manhattan-tower,https://i1.28hse.com/2022/09/202209081218136749370_large.jpg
The Floridian,https://www.28hse.com/en/estate/hk/quarry-bay/1130_the-floridian,https://i1.28hse.com/2022/09/202209081212473664901_large.jpg
Yen Ying Building,https://www.28hse.com/en/estate/hk/wan-chai/5852_yen-ying-building,https://i1.28hse.com/2022/09/202209081247067610349_large.jpg
Belleve Court,https://www.28hse.com/en/estate/hk/shaukeiwan/1188_belleve-court,https://i1.28hse.com/2022/09/202209081213074707196_large.jpg
Chong Yip Centre,https://www.28hse.com/en/estate/hk/shek-tong-tsui/575_chong-yip-centre,https://i1.28hse.com/2022/09/20220908124627788082_large.jpg
South Coast,https://www.28hse.com/en/estate/hk/aberdeen/8609_south-coast,https://i1.28hse.com/2022/09/202209081305014947306_large.jpg
Lei King Wan,https://www.28hse.com/en/estate/hk/sai-wan-ho/1150_lei-king-wan,https://i1.28hse.com/2022/09/202209081212556542873_large.jpg
Wing Shun Mansion,https://www.28hse.com/en/estate/hk/north-point/5231_wing-shun-mansion,https://i1.28hse.com/2022/09/202209081242576481759_large.jpg
Tak Fat Building,https://www.28hse.com/en/estate/hk/quarry-bay/1132_tak-fat-building,https://i1.28hse.com/2022/09/202209081212475051905_large.jpg
The Legend,https://www.28hse.com/en/estate/hk/tai-hang/1007_the-legend,https://i1.28hse.com/2022/09/202209081212056775265_large.jpg
Hong Wah Mansion,https://www.28hse.com/en/estate/hk/shaukeiwan/1181_hong-wah-mansion,https://i1.28hse.com/2022/09/202209081213043535468_large.jpg
Conduit Road 39,https://www.28hse.com/en/estate/hk/western-mid-levels/5385_conduit-road-39,https://i1.28hse.com/2022/09/202209081243542335241_large.jpg
Kensington Mansion,https://www.28hse.com/en/estate/hk/sai-ying-pun/760_kensington-mansion,https://i1.28hse.com/2022/09/202209081257484240591_large.jpg
Kornville,https://www.28hse.com/en/estate/hk/quarry-bay/1126_kornville,https://i1.28hse.com/2022/09/20220908121245717564_large.jpg
Glenealy Building,https://www.28hse.com/en/estate/hk/western-mid-levels/7735_glenealy-building,
Cayman Rise,https://www.28hse.com/en/estate/hk/kennedy-town/554_cayman-rise,https://i1.28hse.com/2022/09/202209081244544831424_large.jpg
Kar Wan Building,https://www.28hse.com/en/estate/hk/north-point/5979_kar-wan-building,https://i1.28hse.com/2022/09/202209081248018623766_large.jpg
Bohemian House,https://www.28hse.com/en/estate/hk/sai-ying-pun/8785_bohemian-house,https://i1.28hse.com/2022/09/202209081306196931525_large.jpg
