Date,District,Estate,Price,Unit Address,Floor,Block,Room,Area,CNAME,CNAME_S,ENAME,REGION
15/9/2021,Southern District,Residence Bel-Air,68.8,BEL-AIR ON THE PEAK TOWER 5 2#/F Room B,2,BEL-AIR ON THE PEAK TOWER 5,B,2463,南區,南区,SOUTHERN,HK
15/9/2021,Shek Tong Tsui,Grace Mansion,2,1#/F Room B,1,,B,517,九龍城區,九龙城区,KOWLOON CITY,KL
15/9/2021,Heng Fa Chuen,Heng Fa Chuen,8.1,BLOCK 12 1#/F Room 8,1,BLOCK 12,8,583,東區,东区,EASTERN,HK
14/9/2021,Western mid-levels,Blessings Garden,24.7,PHASE 2 2#/F Room C,2,PHASE 2,C,1063,中西區,中西区,CENTRAL & WESTERN,HK
14/9/2021,Sai Ying Pun,Two Artlane,7.77,3#/F Room J,3,,J,244,中西區,中西区,CENTRAL & WESTERN,HK
14/9/2021,Sai Ying Pun,Two Artlane,8.22,1#/F Room G,1,,G,287,中西區,中西区,CENTRAL & WESTERN,HK
14/9/2021,Sai Ying Pun,Kwong Fung Terrace,10,TOWER 1 5/F Room A,5,TOWER 1,A,805,中西區,中西区,CENTRAL & WESTERN,HK
14/9/2021,Tin Hau,Hoi Hing Building,5.93,9/F Room A,9,,A,474,東區,东区,EASTERN,HK
14/9/2021,Aberdeen,Aberdeen Centre,10,BLOCK Q 1#/F Room 1,1,BLOCK Q,1,823,南區,南区,SOUTHERN,HK
14/9/2021,Western mid-levels,Robinson Heights,27.68,TOWER 2 2#/F Room B,2,TOWER 2,B,1286,中西區,中西区,CENTRAL & WESTERN,HK
14/9/2021,Sai Ying Pun,Island Crest,19,TOWER 2 3#/F Room D,3,TOWER 2,D,1088,中西區,中西区,CENTRAL & WESTERN,HK
14/9/2021,Quarry Bay,The orchards,18.9,TOWER 2 2#/F Room F,2,TOWER 2,F,1034,東區,东区,EASTERN,HK
14/9/2021,Quarry Bay,Nan Fung Sun Chuen,7.18,BLOCK NO.7 1#/F Room C,1,BLOCK NO.7,C,474,東區,东区,EASTERN,HK
14/9/2021,Kennedy Town,Cadogan,9.9,3#/F Room C,3,,C,486,中西區,中西区,CENTRAL & WESTERN,HK
14/9/2021,Repulse Bay,Repulse Bay Garden,51.8,40 BELLEVIEW DRIVE 7/F,7,40 BELLEVIEW DRIVE,40 BELLEVIEW DRIVE 7/F,2288,南區,南区,SOUTHERN,HK
14/9/2021,North Point,Ming Yuet Building,3.63,1#/F Room D,1,,D,290,東區,东区,EASTERN,HK
14/9/2021,Tai Tam,Pacific View,43.5,BLOCK 4 2#/F Room A,2,BLOCK 4,A,2054,南區,南区,SOUTHERN,HK
14/9/2021,Southern District,Sham Wan Towers,8.5,TOWER 1 1#/F Room G,1,TOWER 1,G,642,南區,南区,SOUTHERN,HK
14/9/2021,Quarry Bay,Kornhill,11,BLOCK N 2#/F Room 9,2,BLOCK N,9,762,東區,东区,EASTERN,HK
14/9/2021,Sai Wan Ho,Les Saisons,21.18,TOWER 4 2#/F Room D,2,TOWER 4,D,1116,東區,东区,EASTERN,HK
14/9/2021,South Horizons,South Horizons,13.5,TOWER 8 1#/F Room H,1,TOWER 8,H,931,南區,南区,SOUTHERN,HK
14/9/2021,Quarry Bay,Park Vale,10,HONG PAK MANSION 1#/F Room E,1,HONG PAK MANSION,E,677,東區,东区,EASTERN,HK
14/9/2021,Chai Wan,Cheerful Garden,4.92,BLOCK 3 3#/F Room B,3,BLOCK 3,B,716,東區,东区,EASTERN,HK
