VGG16_2d1,VGG16_2d2,VGG16_3d1,VGG16_3d2,VGG16_3d3
0.5008306,0.44839567,0.4942465,0.5272831,0.8382404
0.64351827,0.3251475,0.6130117,0.4675905,0.7864487
0.91431236,0.2391577,0.9643158,0.3637804,0.45700562
0.47780052,0.87688756,0.4400778,0.8298494,0.37194222
0.8431768,0.45288244,0.85485387,0.5073571,0.6138414
0.66028154,0.45054752,0.66539013,0.510707,0.4973673
0.9260275,0.27642098,0.8805654,0.39038974,0.45865372
0.8483526,0.17952445,0.77748406,0.23660067,0.6839016
0.31926045,0.5770507,0.21874627,0.64085984,0.38438606
0.901357,0.28337896,0.9094659,0.33362192,0.496835
0.80603814,0.23125225,0.7205421,0.27816027,0.53346854
0.5271603,0.7657046,0.33904386,0.77595735,0.15677628
0.3473267,0.25500175,0.42416418,0.25100115,0.48833948
0.790865,0.76999414,0.79711366,0.7782259,0.36937267
0.84264547,0.59401095,0.70725244,0.54399264,0.24245852
0.06311658,0.40880606,0.09813967,0.4184472,0.47877002
0.2212916,0.30597833,0.32947278,0.36952418,0.8404274
0.27867216,0.9334015,0.2200577,0.9184391,0.3856132
0.8911909,0.3195036,0.8468683,0.3415255,0.55463207
0.5370666,0.880825,0.4654891,0.76303065,0.23104173
0.2976675,0.5965824,0.154414,0.5640454,0.30538863
0.2571947,0.7449406,0.2154384,0.8025808,0.5528845
0.6768333,0.69430876,0.69840163,0.8127351,0.55575264
0.23644632,0.5433282,0.20497555,0.5905406,0.6013346
0.44517595,0.22867966,0.46275657,0.26840657,0.5725421
0.9166522,0.29606372,0.87712646,0.3603027,0.5146899
0.49563736,0.5866152,0.47111842,0.51746553,0.21847892
0.92066425,0.49712893,0.8048452,0.42395723,0.20401427
0.5861882,0.5180322,0.5692355,0.59026307,0.68312424
0.22983131,0.5743501,0.28614956,0.58747953,0.6558771
0.2343522,0.3752116,0.24531199,0.32186398,0.3695107
0.7577545,0.42616433,0.7413723,0.51708674,0.45579046
0.7978792,0.618495,0.7547302,0.637522,0.18394163
0.3579706,0.698417,0.32970154,0.7048317,0.83200574
0.7565134,0.35805178,0.7240255,0.39430586,0.46728557
0.38808906,0.7639164,0.41706434,0.8554746,0.68371326
0.323833,0.5921036,0.1817705,0.6228352,0.29954797
0.24041724,0.28420448,0.27769923,0.33524513,0.6992883
0.4878232,0.32113928,0.5015049,0.37285563,0.6549641
0.49514458,0.93387973,0.48238707,0.8749746,0.2952267
0.9239632,0.23796351,0.95813644,0.38957107,0.49619338
0.4371999,0.8212745,0.5042159,0.85058,0.4898454
0.8117663,0.3909652,0.797735,0.4568487,0.5327762
0.3845812,0.595458,0.33990175,0.5158922,0.33463952
0.96372133,0.29646328,0.8277936,0.4740633,0.7969842
0.8181684,0.55752707,0.6171032,0.65353084,0.386204
0.65003806,0.80974996,0.6042621,0.69392323,0.18859002
