AlexNet_2d1,AlexNet_2d2,AlexNet_3d1,AlexNet_3d2,AlexNet_3d3
0.29396722,0.71802914,0.41409698,0.6905516,0.43412048
0.49881658,0.25708622,0.8442162,0.500647,0.6885098
0.6440015,0.11409631,0.88618493,0.20558551,0.4232515
0.7400119,0.19280905,0.6794483,0.14068425,0.64341754
0.13770014,0.32727087,0.7364742,0.7277195,0.14294836
0.64623123,0.066340685,0.8437924,0.15380388,0.6256501
0.22196907,0.5017276,0.58949196,0.73154205,0.28603792
0.61955655,0.7096032,0.318645,0.47489154,0.22774133
0.34340143,0.78441924,0.48881894,0.4124635,0.49590796
0.6381772,0.8061536,0.25416818,0.5901833,0.25715545
0.25991356,0.22689155,0.7910247,0.5963728,0.25298494
0.42195132,0.87014073,0.4379087,0.57366705,0.22005013
0.5565055,0.8476823,0.15886888,0.6929163,0.45789295
0.579609,0.85969985,0.27366295,0.72740936,0.45776775
0.21691829,0.55495334,0.50456595,0.62543046,0.3973276
0.6909439,0.7848823,0.26829335,0.5539873,0.6268056
0.21973008,0.66336274,0.5058749,0.7683213,0.3661026
0.39080948,0.735819,0.33360773,0.72320616,0.676963
0.24610236,0.29123095,0.63353217,0.2918984,0.17290598
0.28851843,0.5836258,0.60921276,0.89871466,0.42907482
0.51487464,0.72364795,0.29781678,0.5888436,0.567035
0.21375108,0.62401116,0.4844662,0.68991745,0.5505091
0.5414382,0.32397807,0.69376886,0.4387786,0.6223336
0.21604547,0.81314933,0.4398317,0.2897638,0.22787717
0.50272787,0.3335548,0.76316094,0.48446977,0.74019444
0.26882043,0.521204,0.6469425,0.7456483,0.3752073
0.61792886,0.65849775,0.4679739,0.35313934,0.25719598
0.54320365,0.80175316,0.25076953,0.70297027,0.56421137
0.466536,0.8529619,0.620244,0.526948,0.6910677
0.5926286,0.34532714,0.6762439,0.42046854,0.5453498
0.82418287,0.5540377,0.36237496,0.23609957,0.5543563
0.49135295,0.8736632,0.35760626,0.58582944,0.18620574
0.595327,0.46767795,0.5682057,0.5058587,0.4613063
0.5174173,0.532204,0.50896084,0.5424261,0.45531955
0.4456428,0.26601028,0.6393627,0.32549018,0.7890878
0.478772,0.8303077,0.4981616,0.61034733,0.80503273
