GoogleNet_2d1,GoogleNet_2d2,GoogleNet_3d1,GoogleNet_3d2,GoogleNet_3d3
0.53518736,0.64717424,0.5932826,0.42693144,0.72545475
0.44711828,0.15844312,0.46706384,0.7788836,0.2468483
0.32700872,0.5002106,0.46703285,0.8760453,0.5749462
0.64942956,0.79887444,0.67320925,0.5101781,0.96123964
0.4945807,0.636909,0.66519827,0.24622363,0.495433
0.14960629,0.56220645,0.49519306,0.90359306,0.49480423
0.69068044,0.52550757,0.2621122,0.44930336,0.682634
0.8299352,0.17379916,0.19549736,0.35525966,0.2618518
0.6330676,0.44294935,0.38150272,0.5689908,0.61857843
0.32916155,0.17950499,0.424136,0.64565176,0.09371048
0.64973295,0.62216365,0.44888833,0.42259502,0.7036093
0.7637129,0.40889278,0.50837904,0.7498042,0.642063
0.63673335,0.28365433,0.3909987,0.3426215,0.43109745
0.59496456,0.3001243,0.48924786,0.48487586,0.3979807
0.48270693,0.40337652,0.5437775,0.49712694,0.36662173
0.5088457,0.5790591,0.26079074,0.2118868,0.31154007
0.42601913,0.415752,0.43598312,0.5927629,0.6370705
0.5787624,0.72492754,0.9340039,0.6193551,0.5518889
0.6146756,0.2964243,0.30619648,0.7759427,0.47775593
0.7598269,0.5754712,0.19120967,0.5582737,0.45565072
0.22791734,0.31754044,0.71917635,0.5601492,0.16644883
0.25867796,0.6340426,0.7200314,0.32663316,0.4337672
0.39013427,0.661072,0.7500795,0.9244794,0.44483355
0.29777718,0.63451207,0.82377684,0.36274725,0.47000977
0.35486716,0.18653122,0.2757739,0.44525218,0.18244195
0.5967051,0.44082314,0.5097413,0.51794827,0.45355836
0.0704405,0.55973464,0.6864965,0.24928924,0.28455544
0.94393903,0.6049761,0.1519717,0.44483218,0.6803823
0.38348132,0.39448175,0.71689016,0.4850103,0.30752942
0.66915834,0.34327248,0.09378445,0.3543306,0.29514652
0.3386299,0.21189049,0.43798324,0.42947617,0.104828596
0.22453144,0.2773789,0.6646571,0.5093715,0.036852777
0.09918061,0.51319474,0.8892561,0.4093163,0.34659106
