img,sky,building,vegetation
381,0.007,0.611,0.024
382,0.515,0.099,0.012
383,0.364,0.021,0.262
384,0.277,0.306,0.062
385,0.549,0.042,0.071
386,0.434,0,0.246
387,0.332,0.201,0.094
388,0.374,0.003,0.252
389,0.2,0.309,0.123
390,0.05975,0.3555,0.131
391,0,0.061,0.502
392,0.493,0.011,0.093
393,0.148,0.494,0
394,0.27,0.397,0.01
395,0.468,0.132,0.053
396,0.271,0.204,0.234
397,0.438,0.132,0.129
398,0.188,0.481,0.002
399,0.449,0.141,0.052
400,0.365,0.029,0.221
401,0.184,0.265,0.209
402,0.454,0.118,0.097
403,0.381,0.024,0.215
404,0.461,0.166,0.002
405,0.46,0.081,0.064
406,0.068,0.002,0.579
407,0.403,0.249,0.019
408,0.439,0.029,0.18
409,0.45,0.016,0.163
410,0.116,0.079,0.474
411,0.261,0.184,0.188
412,0.218,0.452,0.001
413,0.408,0.115,0.097
414,0.406,0.001,0.259
415,0.374,0.175,0.139
416,0.355,0.182,0.07
417,0.257,0.044,0.393
418,0.454,0.136,0.052
419,0.329,0.274,0.033
420,0.232,0.366,0.075
421,0.158,0.492,0
422,0.462,0.132,0.093
423,0.437,0.083,0.098
424,0.176,0.587,0.017
425,0.427,0.213,0
426,0.448,0.024,0.199
427,0.218,0.494,0
428,0.032,0.0685,0.642
429,0.41,0.193,0.028
430,0.55,0.053,0.065
431,0.381,0.145,0.127
432,0.428,0.105,0.08
433,0.391,0.076,0.175
434,0.296,0.195,0.129
435,0.439,0.028,0.215
436,0.008,0.002,0.657
437,0.327,0.145,0.166
438,0.29,0.264,0.059
439,0.494,0.134,0.036
440,0.276,0.126,0.23
441,0.474,0.088,0.057
442,0.368,0.222,0.038
443,0.045,0.10325,0.6415
444,0.366,0.233,0.028
445,0.569,0.044,0.004
446,0.111,0.571,0
447,0.522,0.008,0.079
448,0.383,0.261,0.011
449,0.533,0.077,0.057
450,0.223,0.119,0.315
451,0.499,0.022,0.147
452,0.34,0.137,0.177
453,0.522,0.005,0.054
454,0.329,0.276,0.033
455,0.517,0.056,0.086
456,0.366,0.079,0.206
457,0.303,0.305,0.036
458,0.452,0.004,0.144
459,0.04125,0.27925,0.3275
460,0.478,0,0.205
461,0.515,0.035,0.12
462,0.238,0.357,0.015
463,0.272,0.323,0.033
464,0.09475,0.0005,0.53225
465,0.17,0.145,0.343
466,0.41625,0.012,0.00775
467,0.487,0.144,0.045
468,0.503,0.015,0.155
469,0.068,0.551,0.111
470,0.186,0.005,0.598
471,0.403,0.132,0.077
472,0.461,0.081,0.079
473,0.247,0.382,0.001
474,0.394,0.09,0.162
475,0.386,0.04,0.232
476,0.07275,0.3455,0.20575
477,0.197,0.001,0.464
478,0.161,0.537,0.004
479,0.298,0.115,0.091
480,0.277,0.384,0.025
481,0.184,0.542,0
482,0.54,0.094,0.004
483,0.1055,0.25675,0.11375
484,0.461,0.027,0.101
485,0.398,0.171,0.126
486,0.13,0.012,0.494
487,0.308,0.001,0.19425
488,0.422,0.064,0.153
489,0.342,0.087,0.231
490,0.287,0.022,0.388
491,0.345,0.224,0.083
492,0.1715,0.121,0.27975
493,0.285,0.361,0
494,0.521,0.099,0.015
495,0.053,0.564,0.011
496,0.36,0.151,0.198
497,0.402,0,0.247
498,0.382,0.285,0.032
499,0.065,0.387,0.003
500,0.37,0.197,0.039
501,0.354,0.304,0.068
502,0.498,0.131,0.012
503,0.229,0.158,0.375
504,0.427,0.145,0.113
505,0.00575,0.3725,0
506,0.151,0.508,0
507,0.219,0.328,0.101
508,0.399,0.191,0.068
509,0.431,0.152,0.077
510,0.119,0.554,0
511,0,0.668,0.00925
512,0.211,0.455,0
513,0.302,0.347,0
514,0.404,0.013,0.282
515,0.45,0.082,0.195
516,0.151,0.501,0.003
517,0.365,0,0.522
518,0.465,0.054,0.125
519,0.532,0.073,0.021
520,0.387,0.197,0.089
521,0.372,0.207,0.055
522,0.06175,0.797,0.021
523,0.172,0.477,0.001
524,0.396,0.21,0.025
525,0.292,0.269,0.1
526,0.563,0.065,0.007
527,0.098,0.056,0.488
528,0.446,0.004,0.171
529,0.12375,0.02675,0.461
530,0.592,0.014,0.028
531,0.538,0.007,0.075
532,0.06125,0.391,0.14325
533,0.054,0.693,0
534,0.482,0.165,0.013
535,0.183,0.412,0.096
536,0.313,0.333,0.028
537,0.243,0.229,0.21
538,0.1685,0.2305,0.13075
539,0.155,0.516,0
540,0.255,0.043,0.343
541,0.266,0.249,0.131
542,0.115,0,0.582
543,0.271,0.318,0.063
544,0.206,0.45,0.01
545,0.454,0,0.363
546,0.24,0.026,0.359
547,0.369,0.148,0.148
548,0.243,0.34,0.077
549,0.409,0.065,0.146
550,0.452,0.036,0.198
551,0.409,0.018,0.215
552,0.442,0.03,0.168
553,0.259,0.29,0.11
554,0.463,0.01,0.172
555,0.289,0.358,0.004
556,0.424,0.001,0.253
557,0.0795,0.0355,0.40475
558,0.1055,0.403,0.03775
559,0.167,0.485,0.002
560,0.348,0.107,0.178
561,0.373,0.164,0.042
562,0.314,0.269,0.055
563,0.151,0.489,0.057
564,0.549,0.044,0.057
565,0.368,0.105,0.149
566,0.407,0.27,0.04
567,0.172,0.219,0.346
568,0.372,0.132,0.075
569,0.002,0.385,0
570,0.337,0.283,0.011
571,0.14225,0.0955,0.28325
572,0.263,0.446,0.002
573,0.245,0.382,0.003
574,0.548,0.059,0.003
575,0.348,0.167,0.124
576,0.228,0.426,0.001
577,0.213,0.043,0.449
578,0.433,0.138,0.026
579,0.482,0.172,0.027
580,0,0.652,0
581,0.442,0.028,0.034
582,0.368,0.205,0.112
583,0.276,0.172,0.216
584,0.455,0.028,0.007
585,0.407,0.116,0.117
586,0.291,0.147,0.19
587,0.437,0.291,0.003
588,0.365,0.247,0.034
589,0.217,0.023,0.375
590,0.242,0.267,0.124
591,0.20025,0.12275,0.07175
592,0.264,0.259,0.152
593,0.018,0.559,0.067
594,0.322,0.268,0.05
