pipeline_id,model_type,features,hyperparameters,Time,before_r2,before_mae,before_rmse,after_r2,after_mae,after_rmse,improvement,r2,rmse,r2_rank,rmse_rank,before_r2_rank,before_rmse_rank,after_r2_rank,after_rmse_rank,average_rank
Pipeline_216,Random Forest,"['CCL', 'Floor', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'MAL_Walk500', 'SMK_Walk500', 'KDG_Walk500', 'PRS_Walk500', 'SES_Walk500', 'PAR_Walk500', 'PLG_Walk500', 'RGD_Walk500', 'BUS_Walk500', 'MIN_Walk500', 'CPO_Walk500', 'MTA_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI500', 'NDWI500', 'NDBI500', 'GoogleNet_3d1', 'GoogleNet_3d2', 'GoogleNet_3d3']","{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 110}",30.51,0.8482583077132666,1.102431832798598,2.8414121268108143,0.8465050704508823,1.136843950004545,2.8577799503548,0,0.8482583077132666,2.8414121268108143,119.0,119.0,98.0,98.0,107.0,107.0,102.5
Pipeline_217,XGBoost,"['Area', 'x', 'y', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Class_diversity', 'Type_diversity', 'PRS_Walk500', 'SES_Walk500', 'PLG_Walk500', 'MIN_Walk500', 'CPO_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI500', 'NDWI500', 'NDBI500', 'ResNet101_2d2']","{'learning_rate': 0.1, 'max_depth': 11, 'min_child_weight': 2, 'n_estimators': 47, 'objective': 'reg:squarederror', 'subsample': 0.30000000000000004}",1.08,0.795703623664046,1.3200728583849393,3.296948017954827,0.8051863777010386,1.3047875983661703,3.21952223513641,1,0.8051863777010386,3.21952223513641,189.0,189.0,191.0,191.0,182.0,182.0,186.5
Pipeline_218,LightGBM,"['Area', 'x', 'y', 'POI_density', 'building1000', 'NDWI500', 'NDBI500']","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 109, 'num_leaves': 36, 'verbose': -1}",0.26,0.7788098683632771,1.6146140526105346,3.4305570150492986,0.7933415181736652,1.604809273417488,3.3159531457119997,1,0.7933415181736652,3.3159531457119997,215.0,215.0,224.0,224.0,206.0,206.0,215.0
Pipeline_219,Random Forest,"['Area', 'y', 'Longitude', 'Latitude', 'POI_density', 'Class_diversity', 'sky1000', 'building1000', 'vegetation1000', 'NDVI500', 'NDBI500']","{'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 79}",13.97,0.8522918925601974,1.0981287619854498,2.803392679078269,0.8534407346231382,1.089841792761988,2.792469303409691,1,0.8534407346231382,2.792469303409691,86.0,86.0,71.0,71.0,68.0,68.0,69.5
Pipeline_220,Extra Tree,"['CCL', 'Floor', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'MAL_Walk500', 'PRS_Walk500', 'SES_Walk500', 'PAR_Walk500', 'PLG_Walk500', 'MIN_Walk500', 'CPO_Walk500', 'MTA_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI500', 'NDWI500', 'NDBI500', 'ResNet101_3d1']","{'bootstrap': False, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 79}",3.67,0.8539166769794923,1.07062395346763,2.7879314286515373,0.8582792809372755,1.0668203159036458,2.7459867772496938,1,0.8582792809372755,2.7459867772496938,44.0,44.0,56.0,56.0,30.0,30.0,43.0
Pipeline_221,XGBoost,"['Area', 'x', 'y', 'wifi_hk', 'Num_class', 'Class_diversity', 'KDG_Walk500', 'PRS_Walk500', 'PLG_Walk500', 'CPO_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI500', 'NDWI500', 'NDBI500']","{'learning_rate': 0.1, 'max_depth': 11, 'min_child_weight': 2, 'n_estimators': 47, 'objective': 'reg:squarederror', 'subsample': 0.30000000000000004}",1.18,0.8186675486764323,1.297549447118486,3.106129328770635,0.8191627365621126,1.2825416949550588,3.101885275585555,1,0.8191627365621126,3.101885275585555,173.0,173.0,165.0,165.0,159.0,159.0,162.0
Pipeline_222,LightGBM,"['Floor', 'Area', 'x', 'y', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'PRS_Walk500', 'SES_Walk500', 'PLG_Walk500', 'sky1000', 'building1000', 'NDVI500', 'NDWI500', 'NDBI500']","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 109, 'num_leaves': 36, 'verbose': -1}",0.18,0.6886429401150214,2.1791255026567087,4.070156672643212,0.7893256909706101,1.6049998269926369,3.3480162494034604,1,0.7893256909706101,3.3480162494034604,223.0,223.0,253.0,253.0,213.0,213.0,233.0
Pipeline_223,Extra Tree,"['CCL', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'MAL_Walk500', 'KDG_Walk500', 'PRS_Walk500', 'PAR_Walk500', 'PLG_Walk500', 'MIN_Walk500', 'MTA_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI1000', 'NDWI1000', 'NDBI1000']","{'bootstrap': True, 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 94}",2.33,0.8495849164072643,1.1654510264560023,2.828964272780343,0.8501739740429474,1.1673538132064056,2.823419424199139,1,0.8501739740429474,2.823419424199139,111.0,111.0,92.0,92.0,89.0,89.0,90.5
Pipeline_224,Random Forest,"['Area', 'y', 'Longitude', 'Latitude', 'POI_density', 'Class_diversity', 'sky1000', 'building1000', 'vegetation1000', 'NDVI500', 'NDBI500']","{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 110}",9.54,0.8435227708340796,1.1053907710280677,2.88540873137953,0.851677024544509,1.1029432766121556,2.8092214937884514,1,0.851677024544509,2.8092214937884514,102.0,102.0,109.0,109.0,76.0,76.0,92.5
Pipeline_225,XGBoost,"['CCL', 'Floor', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'MAL_Walk500', 'SMK_Walk500', 'KDG_Walk500', 'PRS_Walk500', 'SES_Walk500', 'PAR_Walk500', 'PLG_Walk500', 'RGD_Walk500', 'BUS_Walk500', 'MIN_Walk500', 'CPO_Walk500', 'MTA_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI1000', 'NDWI1000', 'NDBI1000', 'GoogleNet_2d1', 'GoogleNet_2d2']","{'learning_rate': 0.1, 'max_depth': 11, 'min_child_weight': 2, 'n_estimators': 47, 'objective': 'reg:squarederror', 'subsample': 0.30000000000000004}",0.76,0.8233730644344568,1.2981308380928906,3.065562925279734,0.820459569514607,1.3011891566303224,3.090743034280044,0,0.8233730644344568,3.065562925279734,166.0,166.0,151.0,151.0,157.0,157.0,154.0
Pipeline_226,LightGBM,"['Area', 'x', 'y', 'POI_density', 'Class_diversity', 'building1000', 'NDBI1000']","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 109, 'num_leaves': 36, 'verbose': -1}",0.16,0.7869721074067609,1.609738056574273,3.366665771509368,0.7991909233436545,1.6011284694503056,3.2686877667126284,1,0.7991909233436545,3.2686877667126284,199.0,197.0,204.0,204.0,193.0,191.0,198.0
Pipeline_227,Extra Tree,"['CCL', 'Floor', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'MAL_Walk500', 'SMK_Walk500', 'KDG_Walk500', 'PRS_Walk500', 'SES_Walk500', 'PAR_Walk500', 'PLG_Walk500', 'RGD_Walk500', 'BUS_Walk500', 'MIN_Walk500', 'CPO_Walk500', 'MTA_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI1000', 'NDWI1000', 'NDBI1000', 'GoogleNet_3d1', 'GoogleNet_3d2', 'GoogleNet_3d3']","{'bootstrap': True, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 175}",2.05,0.8545673690297033,1.1369334028732152,2.7817154233291057,0.8470339590471625,1.1118998505404445,2.852852258426017,0,0.8545673690297033,2.7817154233291057,73.0,73.0,51.0,51.0,102.0,102.0,76.5
Pipeline_228,Random Forest,"['CCL', 'Floor', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'MAL_Walk500', 'SMK_Walk500', 'KDG_Walk500', 'PRS_Walk500', 'SES_Walk500', 'PAR_Walk500', 'PLG_Walk500', 'RGD_Walk500', 'BUS_Walk500', 'MIN_Walk500', 'CPO_Walk500', 'MTA_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI500', 'NDWI500', 'NDBI500', 'ResNet101_3d1', 'ResNet101_3d2', 'ResNet101_3d3']","{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 110}",15.02,0.8484801557533059,1.1071564378453873,2.83933427902453,0.8407635906561655,1.147932293087791,2.9107369301855206,0,0.8484801557533059,2.83933427902453,117.0,117.0,96.0,96.0,115.0,115.0,105.5
Pipeline_229,XGBoost,"['CCL', 'Floor', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'MAL_Walk500', 'SMK_Walk500', 'KDG_Walk500', 'PRS_Walk500', 'SES_Walk500', 'PAR_Walk500', 'PLG_Walk500', 'RGD_Walk500', 'BUS_Walk500', 'MIN_Walk500', 'CPO_Walk500', 'MTA_Walk500', 'sky1000', 'building1000', 'vegetation1000', 'NDVI1000', 'NDWI1000', 'NDBI1000', 'GoogleNet_3d1', 'GoogleNet_3d2', 'GoogleNet_3d3']","{'learning_rate': 0.1, 'max_depth': 11, 'min_child_weight': 2, 'n_estimators': 47, 'objective': 'reg:squarederror', 'subsample': 0.30000000000000004}",1.36,0.8337766222177855,1.2938171377353735,2.9739099892371748,0.8155591012503347,1.2922691384575584,3.1326392347478804,0,0.8337766222177855,2.9739099892371748,132.0,132.0,115.0,115.0,168.0,168.0,141.5
