pipeline_id,model_type,features,hyperparameters,Time,before_r2,before_mae,before_rmse,after_r2,after_mae,after_rmse,improvement
Pipeline_1,XGBoost,"['Area', 'y', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'SMK_Walk300', 'RGD_Walk300', 'CPO_Walk300', 'building500', 'vegetation500', 'NDWI500', 'NDBI500', 'GoogleNet_2d2']","{'learning_rate': 0.1, 'max_depth': 11, 'min_child_weight': 2, 'n_estimators': 47, 'objective': 'reg:squarederror', 'subsample': 0.30000000000000004}",0.80,0.8261809015895322,1.2845185881324581,3.0410986926859542,0.8302031496608359,1.2989693107318212,3.005706586798882,1
Pipeline_2,LightGBM,"['CCL', 'Floor', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'MAL_Walk300', 'SMK_Walk300', 'KDG_Walk300', 'PRS_Walk300', 'SES_Walk300', 'PAR_Walk300', 'PLG_Walk300', 'RGD_Walk300', 'BUS_Walk300', 'MIN_Walk300', 'CPO_Walk300', 'MTA_Walk300', 'sky500', 'building500', 'vegetation500', 'NDVI500', 'NDWI500', 'NDBI500', 'GoogleNet_2d1', 'GoogleNet_2d2']","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 109, 'num_leaves': 36, 'verbose': -1}",0.16,0.7982368062960422,1.5635225888534003,3.276443927478802,0.7950316659194315,1.5706133675695897,3.302365615393266,0
Pipeline_3,Extra Tree,"['CCL', 'Floor', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'MAL_Walk300', 'SMK_Walk300', 'KDG_Walk300', 'PRS_Walk300', 'SES_Walk300', 'PAR_Walk300', 'PLG_Walk300', 'RGD_Walk300', 'BUS_Walk300', 'MIN_Walk300', 'CPO_Walk300', 'MTA_Walk300', 'sky500', 'building500', 'vegetation500', 'NDVI500', 'NDWI500', 'NDBI500', 'GoogleNet_3d2']","{'bootstrap': False, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 45}",1.17,0.8480178304196742,1.168312222494297,2.84366274292046,0.8687032228080346,1.0859708283178255,2.64307082633105,1
Pipeline_4,Extra Tree,"['CCL', 'Floor', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'MAL_Walk300', 'SMK_Walk300', 'KDG_Walk300', 'PRS_Walk300', 'SES_Walk300', 'PAR_Walk300', 'PLG_Walk300', 'RGD_Walk300', 'BUS_Walk300', 'MIN_Walk300', 'CPO_Walk300', 'MTA_Walk300', 'sky500', 'building500', 'vegetation500', 'NDVI500', 'NDWI500', 'NDBI500', 'GoogleNet_2d1', 'GoogleNet_2d2']","{'bootstrap': False, 'min_samples_leaf': 4, 'min_samples_split': 21, 'n_estimators': 158}",3.64,0.8580397382253088,1.1229519966954158,2.7483064924115577,0.8574548881412452,1.123314689303937,2.753961931373489,0
Pipeline_5,XGBoost,"['CCL', 'Floor', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'MAL_Walk300', 'SMK_Walk300', 'KDG_Walk300', 'PRS_Walk300', 'SES_Walk300', 'PAR_Walk300', 'PLG_Walk300', 'RGD_Walk300', 'BUS_Walk300', 'MIN_Walk300', 'CPO_Walk300', 'MTA_Walk300', 'sky500', 'building500', 'vegetation500', 'NDVI500', 'NDWI500', 'NDBI500', 'GoogleNet_3d1', 'GoogleNet_3d2', 'GoogleNet_3d3']","{'learning_rate': 0.1, 'max_depth': 11, 'min_child_weight': 2, 'n_estimators': 47, 'objective': 'reg:squarederror', 'subsample': 0.30000000000000004}",1.32,0.837963070425209,1.2715676616802083,2.9362212042098763,0.8230596653081766,1.2882633524521248,3.0682814204544773,0
Pipeline_6,LightGBM,"['Area', 'y', 'POI_density', 'Num_type', 'Class_diversity', 'Type_diversity', 'building500', 'vegetation500', 'NDVI500', 'NDBI500']","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 109, 'num_leaves': 36, 'verbose': -1}",0.27,0.7535360448078308,1.8913682751825562,3.621249722051554,0.7872394554572136,1.6550809785283853,3.36455254095468,1
Pipeline_7,Extra Tree,"['Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'MAL_Walk300', 'KDG_Walk300', 'SES_Walk300', 'PLG_Walk300', 'CPO_Walk300', 'MTA_Walk300', 'sky500', 'building500', 'vegetation500', 'NDVI500', 'NDWI500', 'NDBI500']","{'bootstrap': False, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 79}",3.52,0.8564718171959447,1.1250941712097322,2.7634420465372123,0.8677658300684452,1.058354796981858,2.6524891417554253,1
Pipeline_8,Random Forest,"['CCL', 'Floor', 'Area', 'x', 'y', 'Longitude', 'Latitude', 'wifi_hk', 'POI_density', 'Num_class', 'Num_type', 'Class_diversity', 'Type_diversity', 'MAL_Walk300', 'SMK_Walk300', 'KDG_Walk300', 'PRS_Walk300', 'SES_Walk300', 'PAR_Walk300', 'PLG_Walk300', 'RGD_Walk300', 'BUS_Walk300', 'MIN_Walk300', 'CPO_Walk300', 'MTA_Walk300', 'sky500', 'building500', 'vegetation500', 'NDVI500', 'NDWI500', 'NDBI500', 'GoogleNet_3d1', 'GoogleNet_3d2', 'GoogleNet_3d3']","{'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 110}",10.16,0.8545848054788807,1.103838450434427,2.781548663320791,0.8498556292612685,1.131655986021866,2.8264173809817095,0
Pipeline_9,XGBoost,"['Area', 'x', 'y', 'Latitude', 'wifi_hk', 'Num_class', 'Class_diversity', 'MAL_Walk300', 'RGD_Walk300', 'CPO_Walk300', 'building500', 'vegetation500', 'NDVI500', 'NDWI500', 'NDBI500']","{'learning_rate': 0.1, 'max_depth': 11, 'min_child_weight': 2, 'n_estimators': 47, 'objective': 'reg:squarederror', 'subsample': 0.30000000000000004}",0.76,0.8247737529480539,1.2813643799224934,3.0533834534320827,0.8320458287168431,1.2668623112853588,2.989352746587515,1
Pipeline_10,LightGBM,"['Area', 'x', 'y', 'Num_type', 'MAL_Walk300', 'building500', 'vegetation500', 'NDVI500', 'NDBI500']","{'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 189, 'num_leaves': 47, 'verbose': -1}",0.13,0.7640495169133598,1.9487888246791054,3.54317174066763,0.8110637459384451,1.2039204082110018,3.170585129159657,1
